Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths/100 cases,Recovered/100 cases,Deaths/100 recovered,No.of countries
2020/3/15,54,44,27,1,2,1,3,2,48,1,54
2020/3/16,55,45,28,1,2,1,3,2,49,1,55
2020/3/17,56,46,29,1,2,1,3,2,50,1,56
2020/3/18,57,47,30,1,2,1,3,2,51,1,57
2020/3/19,58,48,31,1,2,1,3,2,52,1,58
2020/3/20,59,49,32,1,2,1,3,2,53,1,59
2020/3/21,60,50,33,1,2,1,3,2,54,1,60
2020/3/22,61,51,34,1,2,1,3,2,55,1,61
2020/3/23,62,52,35,1,2,1,3,2,56,1,62
2020/3/24,63,53,36,1,2,1,3,2,57,1,63
2020/3/25,64,54,37,1,2,1,3,2,58,1,64
2020/3/26,65,55,38,1,2,1,3,2,59,1,65
2020/3/27,66,56,39,1,2,1,3,2,60,1,66
2020/3/28,67,57,40,1,2,1,3,2,61,1,67
2020/3/29,68,58,41,1,2,1,3,2,62,1,68
2020/3/30,69,59,42,1,2,1,3,2,63,1,69
2020/3/31,70,60,43,1,2,1,3,2,64,1,70
2020/4/1,71,61,44,1,2,1,3,2,65,1,71
2020/4/2,72,62,45,1,2,1,3,2,66,1,72
2020/4/3,73,63,46,1,2,1,3,2,67,1,73
2020/4/4,74,64,47,1,2,1,3,2,68,1,74
2020/4/5,75,65,48,1,2,1,3,2,69,1,75
2020/4/6,76,66,49,1,2,1,3,2,70,1,76
2020/4/7,77,67,50,1,2,1,3,2,71,1,77
2020/4/8,78,68,51,1,2,1,3,2,72,1,78
2020/4/9,79,69,52,1,2,1,3,2,73,1,79
2020/4/10,80,70,53,1,2,1,3,2,74,1,80
2020/4/11,81,71,54,1,2,1,3,2,75,1,81
2020/4/12,82,72,55,1,2,1,3,2,76,1,82
2020/4/13,83,73,56,1,2,1,3,2,77,1,83
2020/4/14,84,74,57,1,2,1,3,2,78,1,84
2020/4/15,85,75,58,1,2,1,3,2,79,1,85
2020/4/16,86,76,59,1,2,1,3,2,80,1,86
2020/4/17,87,77,60,1,2,1,3,2,81,1,87
2020/4/18,88,78,61,1,2,1,3,2,82,1,88
2020/4/19,89,79,62,1,2,1,3,2,83,1,89
2020/4/20,90,80,63,1,2,1,3,2,84,1,90
2020/4/21,91,81,64,1,2,1,3,2,85,1,91
2020/4/22,92,82,65,1,2,1,3,2,86,1,92
2020/4/23,93,83,66,1,2,1,3,2,87,1,93
2020/4/24,94,84,67,1,2,1,3,2,88,1,94
2020/4/25,95,85,68,1,2,1,3,2,89,1,95
2020/4/26,96,86,69,1,2,1,3,2,90,1,96
2020/4/27,97,87,70,1,2,1,3,2,91,1,97
2020/4/28,98,88,71,1,2,1,3,2,92,1,98
2020/4/29,99,89,72,1,2,1,3,2,93,1,99
2020/4/30,100,90,73,1,2,1,3,2,94,1,100
